frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
38,379,178,81,53,338,362,107,73,0,196.01,374,179,86,59,0.817071,4.71699,0,0,4.43945,0.999998,5,0,391.74,893.023,391.74,893.023,391.74,893.023,0,50.25,1.1
39,391,181,91,54,339,362,107,73,0,195.515,391,184,84,58,0.778626,6.10328,0,0,4.8038,0.999998,5,0,392.552,915.482,392.552,915.482,392.552,915.482,0,50.25,1.1
40,418,171,86,51,340,362,107,73,0,212.979,412,171,84,58,0.753409,7.82624,0,0,5.18643,0.999998,5,0,393.363,937.942,393.363,937.942,393.363,937.942,0,50.25,1.1
41,432,150,81,56,341,362,107,73,0,233.889,428,152,84,58,0.849057,3.90512,0,0,5.58774,0.999998,5,0,394.175,960.401,394.175,960.401,394.175,960.401,0,50.25,1.1
42,433,129,84,58,341,362,107,73,0,253.615,430,135,81,55,0.769493,6.36396,0,0,6.00813,0.999998,5,0,394.986,982.861,394.986,982.861,394.986,982.861,0,50.25,1.1
43,409,115,76,60,342,362,107,73,0,258.678,409,120,83,57,0.817844,4.94975,0,0,6.44801,0.999998,5,0,395.798,1005.32,395.798,1005.32,395.798,1005.32,0,50.25,1.1
44,371,109,79,58,343,362,107,73,0,260.876,374,113,83,57,0.787867,6.10328,0,0,6.90777,0.999999,5,0,396.61,1027.78,396.61,1027.78,396.61,1027.78,0,50.25,1.1
45,350,110,79,58,344,362,107,73,0,259.623,350,109,83,57,0.904889,2.5,0,0,7.38781,0.999999,5,0,397.421,1050.24,397.421,1050.24,397.421,1050.24,0,50.25,1.1
46,334,102,90,59,345,362,107,73,0,267.711,336,103,83,57,0.89096,1.5,0,0,7.88853,0.999999,5,0,398.233,1072.7,398.233,1072.7,398.233,1072.7,0,50.25,1.1
47,326,101,90,55,346,362,107,73,0,271.5,328,98,83,57,0.862089,2.5,0,0,8.41034,0.999999,5,0,399.045,1095.16,399.045,1095.16,399.045,1095.16,0,50.25,1.1
48,318,94,88,60,346,362,107,73,0,277.05,319,97,84,58,0.892617,2.23607,0,0,8.95363,0.999999,5,0,399.856,1117.62,399.856,1117.62,399.856,1117.62,0,50.25,1.1
49,317,94,90,62,347,362,107,73,0,276.196,317,97,83,57,0.847849,3.53553,0,0,9.5188,0.999999,5,0,400.668,1140.08,400.668,1140.08,400.668,1140.08,0,50.25,1.1
50,318,102,86,57,348,362,107,73,0,271.043,318,103,83,57,0.932397,1.80278,0,0,10.1062,0.999999,5,0,401.48,1162.54,401.48,1162.54,401.48,1162.54,0,50.25,1.1
51,329,116,81,53,349,362,107,73,0,258.118,324,115,83,57,0.845399,4.12311,0,0,10.7164,0.999999,5,0,402.291,1185,402.291,1185,402.291,1185,0,50.25,1.1
52,340,128,85,53,350,362,107,73,0,244.902,336,131,86,59,0.748312,6.94622,0,0,11.3496,0.999999,5,0,403.103,1207.46,403.103,1207.46,403.103,1207.46,0,50.25,1.1
53,346,151,86,53,350,362,107,73,0,221.475,342,149,86,59,0.822172,4.12311,0,0,12.0063,0.999999,5,0,403.915,1229.92,403.915,1229.92,403.915,1229.92,0,50.25,1.1
54,344,166,92,53,351,362,107,73,0,206.51,346,165,86,59,0.845326,2.23607,0,0,12.6869,0.999999,5,0,404.726,1252.38,404.726,1252.38,404.726,1252.38,0,50.25,1.1
55,352,163,80,54,352,362,107,73,0,208.937,348,162,86,59,0.851399,1.80278,0,0,13.3917,0.999999,5,0,405.538,1274.84,405.538,1274.84,405.538,1274.84,0,50.25,1.1
56,359,146,84,50,353,362,107,73,0,227.566,357,144,86,59,0.827749,2.69258,0,0,14.1213,0.999999,5,0,406.35,1297.3,406.35,1297.3,406.35,1297.3,0,50.25,1.1
57,378,124,79,51,354,362,107,73,0,249.201,374,125,84,58,0.797819,4.74342,0,0,14.8759,0.999999,5,0,407.161,1319.76,407.161,1319.76,407.161,1319.76,0,50.25,1.1
58,399,106,76,47,354,362,107,73,0,270.613,388,102,84,58,0.684421,7.15891,0,0,15.656,0.999999,5,0,407.973,1342.21,407.973,1342.21,407.973,1342.21,0,50.25,1.1
59,400,76,74,56,355,362,107,73,0,295.876,396,78,84,58,0.796016,3.16228,0,0,16.462,0.999999,5,0,408.784,1364.67,408.784,1364.67,408.784,1364.67,0,50.25,1.1
60,400,51,84,53,356,362,107,73,0,322.641,394,53,86,59,0.749174,7.07107,0,0,17.2943,0.999999,5,0,409.596,1387.13,409.596,1387.13,409.596,1387.13,0,50.25,1.1
61,383,29,87,52,357,362,107,73,0,343.872,378,30,84,58,0.750699,7.63217,0,0,18.1532,0.999999,5,0,410.408,1409.59,410.408,1409.59,410.408,1409.59,0,50.25,1.1
62,361,14,79,52,358,362,107,73,0,358.669,358,14,84,58,0.843186,3.04138,0,0,19.0393,0.999999,5,0,411.219,1432.05,411.219,1432.05,411.219,1432.05,0,50.25,1.1
63,355,8,71,50,359,362,107,73,0,366.162,348,5,83,57,0.75037,1.11803,0,0,19.9528,0.999999,5,0,412.031,1454.51,412.031,1454.51,412.031,1454.51,0,50.25,1.1
64,351,5,75,48,359,362,107,73,0,370.279,348,2,83,57,0.760938,1.80278,0,0,20.8942,0.999999,5,0,412.843,1476.97,412.843,1476.97,412.843,1476.97,0,50.25,1.1
65,352,3,72,49,360,362,107,73,0,371.875,347,1,83,57,0.74572,2.06155,0,0,21.8639,0.999999,5,0,413.654,1499.43,413.654,1499.43,413.654,1499.43,0,50.25,1.1
66,346,5,76,52,361,362,107,73,0,368.763,343,4,83,57,0.835341,1.58114,0,0,22.8622,0.999999,5,0,414.466,1521.89,414.466,1521.89,414.466,1521.89,0,50.25,1.1
67,346,8,74,56,362,362,107,73,0,363.954,343,13,83,57,0.739855,5.70088,0,0,23.8897,1,5,0,415.278,1544.35,415.278,1544.35,415.278,1544.35,0,50.25,1.1
68,349,21,78,55,363,362,107,73,0,351.158,347,25,83,57,0.788816,5.02494,0,0,24.9466,1,5,0,416.089,1566.81,416.089,1566.81,416.089,1566.81,0,50.25,1.1
69,359,36,72,54,363,362,107,73,0,336.188,355,40,83,57,0.717274,5.70088,0,0,26.0334,1,5,0,416.901,1589.27,416.901,1589.27,416.901,1589.27,0,50.25,1.1
70,370,57,80,50,364,362,107,73,0,316.589,367,60,83,57,0.756387,6.67083,0,0,27.1505,1,5,0,417.713,1611.73,417.713,1611.73,417.713,1611.73,0,50.25,1.1
