frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
29,57,53,105,82,51,48,114,92,0.820938,1.5,56,56,99,80,0.880974,4.47214,41.9976,0.0670385,0.203349,0,0.5,1,108.047,94.3714,106.911,94.5907,107.142,94.5461,1.15669,55.65,1
30,61,52,100,81,53,50,109,89,0.834965,4.03113,55,55,103,84,0.823645,6.36396,30.1953,0.0065606,0.202294,0,0.5,1,107.75,93.9107,106.674,94.5285,106.892,94.4035,1.24023,55.65,1
31,59,53,104,79,52,48,111,91,0.813385,3.64005,55,52,103,84,0.864485,4.74342,56.0253,0.470499,0.201407,0,0.5,1,107.611,93.7359,106.438,94.3776,106.674,94.2484,1.33694,55.65,1
32,57,53,106,79,52,48,111,91,0.829027,2.69258,55,54,101,82,0.864338,5.14782,59.2149,0.527787,0.200663,0,0.5,1,107.277,93.2318,106.236,94.214,106.445,94.0169,1.43134,55.65,1
33,58,53,106,78,51,48,111,91,0.790875,4.74342,57,55,97,79,0.844933,6.04152,31.4508,0.0291112,0.200042,0,0.5,1,106.774,93.5486,106.02,93.9696,106.171,93.8854,0.863384,55.65,1
34,60,52,101,79,54,48,111,91,0.789922,2.23607,57,54,97,79,0.861257,5.38516,44.0538,0.255477,0.199525,0,0.5,1,109.461,92.824,105.757,93.8326,106.496,93.6314,3.83886,55.65,1
35,61,53,100,77,52,48,111,91,0.762301,4.03113,57,55,97,79,0.831545,6.26498,42.5041,0.397526,0.199096,0,0.5,1,107.578,93.1687,106.129,93.5656,106.417,93.4865,1.50257,55.65,1
36,59,54,103,77,53,48,109,89,0.817545,3,56,55,97,79,0.845444,6.32456,45.638,0.49582,0.198742,0,0.5,1,107.461,92.4914,106.069,93.4156,106.346,93.2319,1.67066,55.65,1
37,59,53,104,78,54,50,107,87,0.840571,3.80789,57,54,97,79,0.864657,5.70088,45.422,0.489045,0.19845,0,0.5,1,107.414,93.1037,106.016,93.1491,106.293,93.1401,1.39865,55.65,1
38,60,53,102,79,53,48,111,91,0.797743,2.69258,55,54,101,82,0.845911,6.04152,38.2536,0.264209,0.198211,0,0.5,1,108.649,93.5751,105.981,93.0567,106.51,93.1594,2.71788,55.65,1
39,62,52,97,81,54,49,107,87,0.844022,3,55,53,99,80,0.874421,6.0208,39.162,0.292699,0.198016,0,0.5,1,107.717,92.824,106.232,93.0827,106.526,93.0315,1.50697,55.65,1
40,60,53,103,80,54,49,109,89,0.849397,3.04138,58,55,97,79,0.872483,5.22015,33.6549,0.119969,0.197857,0,0.5,1,108.438,93.4145,106.267,92.9514,106.696,93.043,2.21967,55.65,1
41,62,55,100,78,53,48,111,91,0.772201,3.53553,59,56,95,77,0.882082,5.52268,57.062,0.852446,0.197729,0,0.5,1,108.851,93.7397,106.465,92.9688,106.937,93.1213,2.50723,55.65,1
42,64,54,97,79,57,48,107,87,0.823182,2.82843,58,55,97,79,0.862664,6.08276,56.1509,0.823539,0.197625,0,0.5,1,110.568,91.7203,106.735,93.0569,107.493,92.7928,4.05922,55.65,1
43,61,55,102,79,54,50,109,89,0.830636,3.5,58,57,95,77,0.854627,6.57647,38.4851,0.263026,0.197541,0,0.5,1,108.426,94.238,107.34,92.7114,107.555,93.013,1.87295,55.65,1
44,63,56,100,76,56,50,109,89,0.783424,2.54951,60,56,97,79,0.879911,4.74342,42.6034,0.393694,0.197474,0,0.5,1,110.22,93.9388,107.416,92.951,107.97,93.1461,2.97254,55.65,1
45,64,53,99,80,56,49,109,89,0.816411,3.04138,59,56,95,77,0.834437,7.15891,42.0731,0.376869,0.19742,0,0.5,1,110.236,93.1746,107.867,93.0966,108.335,93.112,2.37091,55.65,1
46,60,57,105,77,57,51,107,87,0.853186,2.23607,61,58,95,77,0.882641,4.12311,37.0641,0.217938,0.197378,0,0.5,1,110.798,94.9044,108.262,93.0636,108.762,93.4269,3.13352,55.65,1
47,62,55,103,79,58,51,107,87,0.8741,2,58,56,101,82,0.854626,5.59017,28.6114,0,0.197344,0,0.5,1,111.794,94.6052,108.721,93.4018,109.328,93.6393,3.29969,55.65,1
48,66,55,97,77,56,50,107,87,0.802342,5,60,55,97,79,0.8624,6.08276,39.3455,0.350746,0.197318,0,0.5,1,109.855,93.9697,109.326,93.6295,109.43,93.6966,0.628765,55.65,1
49,63,56,100,76,56,49,109,89,0.783424,2.54951,63,57,93,76,0.906668,3.64005,26.8058,0,0.197297,0,0.5,1,110.941,93.3758,109.435,93.6911,109.732,93.6289,1.53844,55.65,1
50,65,53,99,79,57,49,109,89,0.806206,3.16228,65,60,88,71,0.798875,6.26498,32.9975,0.191048,0.197281,0,0.5,1,111.768,93.7957,109.756,93.6194,110.153,93.6542,2.01947,55.65,1
51,64,54,102,81,59,51,105,85,0.891383,3.64005,64,59,93,76,0.855483,5.14782,39.7339,0.398904,0.197268,0,0.5,1,111.871,93.4265,110.203,93.6469,110.532,93.6034,1.68335,55.65,1
52,67,57,95,73,58,52,109,89,0.714875,3.60555,61,59,95,77,0.796747,7.2111,19.9476,0,0.197258,0,0.5,1,112.746,95.888,110.602,93.5934,111.025,94.046,3.14033,55.65,1
53,65,56,100,79,57,52,109,89,0.814349,3.64005,63,60,93,76,0.838143,6.04152,21.8271,0.047864,0.197251,0,0.5,1,111.747,96.4311,111.123,94.065,111.246,94.5318,2.44705,55.65,1
54,67,56,98,79,59,52,107,87,0.831668,3.5,61,58,99,80,0.842371,6.04152,21.9144,0.0500877,0.197245,0,0.5,1,112.449,95.3021,111.352,94.5808,111.568,94.723,1.3126,55.65,1
55,67,56,97,81,57,53,109,89,0.809917,4.12311,60,58,101,82,0.85229,5.59017,19.384,0,0.197241,0,0.5,1,111.954,97.4704,111.688,94.7812,111.74,95.3116,2.70239,55.65,1
56,65,57,101,80,57,55,109,89,0.832904,4.71699,61,59,99,80,0.862631,5.38516,22.4816,0.0777689,0.197237,0,0.5,1,112.047,99.0336,111.863,95.4038,111.9,96.1197,3.63435,55.65,1
57,65,57,101,79,57,53,109,89,0.822493,4.12311,60,58,101,82,0.853528,5.59017,36.1466,0.420845,0.197235,0,0.5,1,111.303,97.3321,112.025,96.258,111.883,96.4698,1.29424,55.65,1
58,67,58,99,80,58,55,111,91,0.784081,3.90512,62,60,97,79,0.853574,6.18466,20.6449,0.031656,0.197233,0,0.5,1,113.58,100.402,111.999,96.6216,112.311,97.3673,4.09792,55.65,1
59,69,57,97,80,58,53,111,91,0.768241,4.272,63,60,95,77,0.833495,7.15891,29.8265,0.262171,0.197231,0,0.5,1,113.888,98.5224,112.447,97.567,112.731,97.7554,1.72946,55.65,1
60,68,58,98,80,59,54,111,91,0.776161,2.91548,62,59,99,80,0.873291,5.59017,30.4021,0.276623,0.19723,0,0.5,1,114.336,98.9658,112.886,97.9673,113.172,98.1642,1.76114,55.65,1
61,67,60,100,79,58,53,109,89,0.814349,4.92443,62,60,97,79,0.87619,6.5,36.521,0.430245,0.19723,0,0.5,1,112.514,97.6142,113.345,98.3887,113.181,98.2359,1.13539,55.65,1
62,64,60,104,78,58,55,109,89,0.821556,3.53553,63,61,95,77,0.883869,5.52268,28.3265,0.23734,0.197229,0,0.5,1,112.789,99.5745,113.343,98.4506,113.234,98.6723,1.25321,55.65,1
63,65,57,101,79,59,54,109,89,0.822493,2.82843,61,59,101,82,0.849522,5.31507,39.6054,0.536689,0.197229,0,0.5,1,113.439,98.4272,113.389,98.9012,113.399,98.8077,0.476578,55.65,1
64,67,56,99,78,58,52,111,91,0.764479,3.90512,64,59,95,77,0.847978,5.59017,25.6998,0.167625,0.197228,0,0.5,1,113.725,97.1889,113.555,99.0306,113.588,98.6674,1.84954,55.65,1
65,66,55,101,80,58,53,111,91,0.799921,4.60977,64,60,95,77,0.828385,6.10328,37.8726,0.490701,0.197228,0,0.5,1,113.849,98.3042,113.747,98.8669,113.767,98.756,0.571904,55.65,1
66,67,59,101,75,58,52,114,92,0.722254,2.91548,63,59,97,79,0.844124,6.32456,29.9868,0.281407,0.197228,0,0.5,1,114.812,98,113.926,98.9484,114.101,98.7614,1.2981,55.65,1
67,65,56,104,80,56,51,116,94,0.763023,3.60555,65,59,93,76,0.849519,5.59017,23.824,0.11784,0.197228,0,0.5,1,114.398,98.2934,114.272,98.9418,114.296,98.8139,0.660557,55.65,1
68,68,57,99,77,58,52,114,92,0.726831,3.53553,65,61,93,76,0.809014,6.94622,26.9681,0.201289,0.197228,0,0.5,1,114.431,98.1048,114.469,98.9861,114.461,98.8123,0.882119,55.65,1
69,66,55,102,76,58,51,114,92,0.73913,4.47214,64,59,95,77,0.799904,7.10634,31.5193,0.322078,0.197228,0,0.5,1,114.93,97.2887,114.633,98.9733,114.691,98.6411,1.71061,55.65,1
70,71,58,95,78,58,52,114,92,0.706522,3.64005,65,60,93,76,0.84058,7.07107,35.2121,0.420089,0.197228,0,0.5,1,114.554,97.8887,114.867,98.7808,114.805,98.6048,0.945512,55.65,1
71,70,55,96,76,59,51,114,92,0.695652,4.47214,65,59,95,77,0.79695,7.10634,32.1532,0.347302,0.197228,0,0.5,1,115.657,97.1401,114.977,98.7332,115.111,98.419,1.73223,55.65,1
72,70,53,96,79,58,50,114,92,0.723112,4.60977,66,58,93,76,0.816514,6.5192,27.0533,0.330296,0.197228,0,0.5,1,114.455,96.5474,115.291,98.5272,115.126,98.1367,2.14913,55.65,1
73,66,53,99,78,57,50,114,92,0.73627,4.272,63,57,95,77,0.827318,6.10328,31.2964,0.513036,0.197228,0,0.5,1,113.602,96.4597,115.296,98.2199,114.962,97.8727,2.44277,55.65,1
74,67,53,98,76,57,49,114,92,0.710145,4.47214,65,56,93,76,0.84377,5.40833,28.9202,0.420297,0.197228,0,0.5,1,114.244,95.0279,115.11,97.9335,114.939,97.3605,3.03194,55.65,1
75,67,52,97,77,57,49,114,92,0.712147,4.74342,64,56,95,77,0.832424,5.65685,32.2906,0.634237,0.197228,0,0.5,1,114.124,94.7232,115.076,97.3845,114.888,96.8596,2.82661,55.65,1
76,66,52,98,79,57,49,114,92,0.738177,3.64005,65,57,93,76,0.850787,4.94975,44.5713,1,0.197228,0,0.5,1,113.356,95.3149,115.013,96.8499,114.686,96.5471,2.25904,55.65,1
77,65,56,99,74,57,49,114,92,0.698513,2.06155,63,57,95,77,0.86462,4.71699,41.1747,0.865146,0.197228,0,0.5,1,113.591,95.09,114.79,96.518,114.554,96.2363,1.86515,55.65,1
78,65,54,99,77,58,50,111,91,0.754678,3.16228,63,58,95,77,0.833108,5.65685,39.9615,0.816979,0.197228,0,0.5,1,113.555,95.4132,114.643,96.1891,114.428,96.036,1.33573,55.65,1
79,64,54,101,80,57,51,111,91,0.799921,3.20156,62,57,95,77,0.869687,5.22015,45.6081,1,0.197228,0,0.5,1,113.161,96.0935,114.503,95.9789,114.239,96.0015,1.34686,55.65,1
80,64,56,99,75,56,50,114,92,0.707952,2.54951,64,59,91,74,0.861312,4.71699,39.4879,0.76662,0.197228,0,0.5,1,112.841,96.014,114.297,95.9459,114.01,95.9593,1.45721,55.65,1
81,67,56,94,76,56,51,114,92,0.681159,3.16228,63,60,91,74,0.822695,6.26498,31.7802,0.472704,0.197228,0,0.5,1,113.024,97.5922,114.049,95.9045,113.847,96.2374,1.97453,55.65,1
82,64,56,98,77,59,51,109,89,0.777858,1.11803,64,60,91,74,0.869844,4.30116,40.4879,0.804754,0.197228,0,0.5,1,113.578,95.6233,113.874,96.204,113.815,96.0895,0.651452,55.65,1
83,65,57,96,72,59,52,109,89,0.712504,3.53553,62,59,93,76,0.820312,6.0208,41.957,0.860771,0.197228,0,0.5,1,113.429,96.4431,113.838,96.0487,113.757,96.1265,0.568523,55.65,1
84,64,56,98,79,59,52,109,89,0.798062,1.11803,64,61,91,74,0.869801,4.30116,47.6412,1,0.197228,0,0.5,1,113.307,96.6974,113.775,96.0908,113.683,96.2104,0.766067,55.65,1
85,65,56,99,77,59,53,109,89,0.785795,3.16228,63,61,91,74,0.806139,6.94622,47.8545,1,0.197228,0,0.5,1,113.764,97.0234,113.695,96.1823,113.708,96.3482,0.843884,55.65,1
86,68,56,93,76,59,54,109,89,0.728585,4.60977,62,60,93,76,0.795732,7.2111,40.3534,0.724319,0.197228,0,0.5,1,113.125,98.1053,113.721,96.3308,113.603,96.6808,1.87194,55.65,1
87,68,57,92,76,59,54,109,89,0.72075,3.53553,64,62,91,74,0.818254,6.0208,31.6617,0.404887,0.197228,0,0.5,1,113.428,98.7748,113.609,96.6859,113.573,97.0979,2.09672,55.65,1
88,66,58,95,76,60,54,107,87,0.775594,1.5,63,61,91,74,0.853121,5.38516,26.5885,0.115041,0.197228,0,0.5,1,113.076,97.6541,113.576,97.1294,113.477,97.2329,0.724385,55.65,1
89,66,56,95,76,59,54,107,87,0.775594,3.64005,64,61,90,73,0.828427,5.70088,42.4879,0.776674,0.197228,0,0.5,1,112.617,97.5746,113.474,97.2711,113.305,97.3309,0.908581,55.65,1
90,67,59,93,73,59,55,107,87,0.729294,3.16228,64,62,91,74,0.836616,5.31507,37.7082,0.577772,0.197228,0,0.5,1,112.731,98.8209,113.291,97.373,113.18,97.6586,1.55221,55.65,1
91,67,57,94,79,58,55,109,89,0.765488,3.3541,62,62,91,74,0.816316,6.96419,44.5222,0.861331,0.197228,0,0.5,1,112.537,99.3511,113.159,97.7189,113.036,98.0408,1.74659,55.65,1
92,65,58,96,76,60,55,105,85,0.817479,1.58114,63,61,90,73,0.863209,5.22015,54.411,1,0.197228,0,0.5,1,112.18,97.9733,113.007,98.1219,112.844,98.0926,0.839582,55.65,1
93,66,58,95,75,60,55,107,87,0.765388,3,61,61,95,77,0.81407,6.40312,40.3327,0.539729,0.197228,0,0.5,1,113.327,98.0238,112.804,98.1718,112.907,98.1426,0.543453,55.65,1
94,66,56,95,78,59,54,107,87,0.796004,2.69258,62,60,95,77,0.842698,5.31507,34.2777,0.341769,0.197228,0,0.5,1,112.986,97.9744,112.874,98.2199,112.896,98.1715,0.269877,55.65,1
95,67,57,94,76,58,53,109,89,0.736419,2.91548,64,60,91,74,0.861819,4.92443,43.6517,0.648241,0.197228,0,0.5,1,112.542,97.2719,112.864,98.2457,112.801,98.0536,1.02559,55.65,1
96,66,57,97,77,58,53,109,89,0.769921,2.82843,64,61,90,73,0.843598,5.85235,42.0054,0.594416,0.197228,0,0.5,1,112.831,97.2961,112.765,98.1155,112.778,97.9539,0.822029,55.65,1
97,69,57,91,75,59,53,107,87,0.733161,2.82843,64,60,91,74,0.840505,5.59017,32.3999,0.208875,0.197228,0,0.5,1,112.55,96.783,112.743,98.0053,112.705,97.7643,1.23738,55.65,1
98,65,58,98,71,59,53,109,89,0.717246,4.03113,64,60,90,73,0.831325,5.83095,40.0554,0.484031,0.197228,0,0.5,1,113.324,97.1489,112.668,97.8003,112.797,97.6718,0.924523,55.65,1
99,67,57,94,72,62,54,105,85,0.758319,3.53553,62,60,95,77,0.788772,7.10634,47.4502,0.749815,0.197228,0,0.5,1,114.258,96.7551,112.768,97.6995,113.062,97.5133,1.76418,55.65,1
100,67,58,94,71,60,53,107,87,0.716941,3.04138,64,59,93,76,0.846547,4.94975,39.6588,0.469776,0.197228,0,0.5,1,113.899,96.931,113.051,97.529,113.219,97.4111,1.03718,55.65,1
101,71,59,90,71,61,54,105,85,0.715966,3.20156,65,60,91,74,0.829384,6.04152,41.0424,0.519506,0.197228,0,0.5,1,113.668,96.7099,113.219,97.4193,113.308,97.2794,0.839627,55.65,1
102,69,57,92,74,62,53,107,87,0.731335,2.54951,67,59,90,73,0.899744,3.3541,36.6813,0.362758,0.197228,0,0.5,1,115.683,96.6355,113.314,97.2786,113.781,97.1517,2.45459,55.65,1
103,71,57,89,71,61,51,111,91,0.625582,4.12311,67,59,90,73,0.853199,4.60977,39.3182,0.457532,0.197228,0,0.5,1,116.31,96.0451,113.817,97.1428,114.309,96.9263,2.72327,55.65,1
104,71,55,92,74,60,50,111,91,0.673993,3.80789,67,59,90,73,0.818157,6.10328,38.0373,0.411494,0.197228,0,0.5,1,116.087,95.6729,114.377,96.9034,114.714,96.6607,2.10736,55.65,1
105,70,56,91,73,61,50,111,91,0.657658,3.16228,66,57,93,76,0.877448,3.90512,38.7552,0.437298,0.197228,0,0.5,1,116.273,95.6282,114.804,96.6223,115.093,96.4262,1.77453,55.65,1
106,71,52,93,80,60,50,114,92,0.709382,4.03113,67,57,91,74,0.832213,5.38516,41.5172,0.53657,0.197228,0,0.5,1,116.865,95.9836,115.202,96.3752,115.53,96.298,1.70935,55.65,1
107,70,53,94,77,61,50,114,92,0.690122,4.60977,68,58,90,73,0.847966,5,44.3924,0.639909,0.197228,0,0.5,1,117.832,95.6755,115.659,96.2419,116.087,96.1302,2.24556,55.65,1
108,73,57,89,73,61,49,114,92,0.61947,1.58114,68,58,90,73,0.880956,4.60977,45.2191,0.669625,0.197228,0,0.5,1,117.342,95.1156,116.244,96.067,116.461,95.8794,1.45306,55.65,1
109,72,57,94,74,62,51,111,91,0.688645,2.91548,71,59,88,71,0.879038,4.03113,40.0364,0.483349,0.197228,0,0.5,1,117.764,95.759,116.631,95.8041,116.855,95.7952,1.13383,55.65,1
110,74,57,90,72,62,50,111,91,0.641521,2.91548,70,59,90,73,0.85633,4.71699,57.1987,1,0.197228,0,0.5,1,117.69,95.7027,117.04,95.7194,117.168,95.7161,0.650711,55.65,1
111,75,57,89,73,62,50,111,91,0.643204,2.82843,69,58,91,74,0.860638,5.22015,41.5597,0.489094,0.197228,0,0.5,1,117.864,95.5028,117.361,95.6401,117.46,95.613,0.520995,55.65,1
112,75,58,88,69,64,51,109,89,0.625915,3.04138,68,58,91,74,0.826819,6.04152,46.1597,0.639369,0.197228,0,0.5,1,118.372,95.4561,117.66,95.5353,117.8,95.5196,0.716357,55.65,1
113,73,56,92,74,65,52,107,87,0.731335,2.54951,70,59,90,73,0.857798,4.71699,52.7066,0.85325,0.197228,0,0.5,1,118.205,95.5813,118.009,95.4409,118.048,95.4686,0.241205,55.65,1
114,77,56,87,73,65,52,107,87,0.682243,3.60555,70,59,90,73,0.817044,6.26498,65.5505,1,0.197228,0,0.5,1,118.58,95.3043,118.259,95.3916,118.322,95.3744,0.332914,55.65,1
115,74,58,92,73,66,52,107,87,0.721452,1.11803,71,60,90,73,0.868899,4.47214,56.8357,0.776327,0.197228,0,0.5,1,119.365,95.1575,118.537,95.2963,118.701,95.2689,0.839319,55.65,1
116,74,59,93,74,67,53,107,87,0.739285,0.5,72,60,90,73,0.914058,3.53553,36.7682,0.261272,0.197228,0,0.5,1,120.269,96.398,118.926,95.1891,119.191,95.4275,1.80694,55.65,1
117,76,59,89,70,67,53,107,87,0.669245,2.5,72,60,90,73,0.864259,4.30116,42.9653,0.420329,0.197228,0,0.5,1,120.019,96.6783,119.434,95.363,119.549,95.6224,1.43958,55.65,1
118,75,60,91,73,67,55,109,89,0.684775,3.16228,71,62,91,74,0.857917,4.71699,31.9049,0,0.197228,0,0.5,1,121.104,99.5216,119.799,95.5745,120.057,96.353,4.15726,55.65,1
119,75,62,93,71,65,55,111,91,0.653698,3.16228,72,62,90,73,0.882933,4.60977,44.7298,0.381175,0.197228,0,0.5,1,120.423,100.237,120.323,96.3551,120.343,97.1208,3.88333,55.65,1
120,75,63,93,67,67,56,107,87,0.669352,3.16228,73,64,88,71,0.834338,5.40833,36.9439,0.149767,0.197228,0,0.5,1,120.703,99.7525,120.611,97.1721,120.629,97.6811,2.58202,55.65,1
121,75,64,93,71,67,57,109,89,0.680651,2,72,64,91,74,0.881365,4.272,29.3163,0,0.197228,0,0.5,1,121.417,101.388,120.898,97.7651,121,98.4795,3.65946,55.65,1
122,76,63,95,68,68,57,107,87,0.693952,4.03113,74,63,90,73,0.849276,5.14782,29.4243,0.00298019,0.197228,0,0.5,1,121.07,100.567,121.276,98.6095,121.236,98.9956,1.96833,55.65,1
123,77,63,91,71,66,54,111,91,0.63964,1.41421,75,65,88,71,0.875867,4.03113,42.7845,0.371698,0.197228,0,0.5,1,122.031,98.7989,121.509,99.1503,121.612,99.081,0.629391,55.65,1
124,79,62,88,72,69,58,107,87,0.680632,3.53553,75,66,88,71,0.831199,5.31507,36.9716,0.211273,0.197228,0,0.5,1,122.085,101.185,121.891,99.2313,121.929,99.6166,1.96308,55.65,1
125,77,61,95,74,69,58,107,87,0.755183,4.03113,76,66,88,71,0.825155,5.70088,33.2712,0.109149,0.197228,0,0.5,1,122.555,101.304,122.212,99.7916,122.279,100.09,1.55118,55.65,1
126,79,63,93,72,73,60,101,82,0.8085,2.82843,75,66,90,73,0.809329,6.5192,45.8148,0.455331,0.197228,0,0.5,1,123.4,100.774,122.566,100.284,122.73,100.381,0.967398,55.65,1
127,79,64,93,71,71,60,105,85,0.739832,3.60555,77,66,88,71,0.857886,4.92443,28.4271,0,0.197228,0,0.5,1,123.73,102.242,123.027,100.581,123.166,100.909,1.80357,55.65,1
128,82,67,86,69,71,61,107,87,0.637448,3.04138,79,68,86,70,0.894453,3.3541,39.1902,0.289926,0.197228,0,0.5,1,124.557,104.422,123.472,101.13,123.686,101.78,3.46617,55.65,1
