frame,gt_x,gt_y,gt_w,gt_h,upd_x,upd_y,upd_w,upd_h,upd_iou,upd_err,pure_x,pure_y,pure_w,pure_h,pure_iou,pure_err,apce,apce_norm,kf_trace,kf_uncert,kf_r,accept,meas_x,meas_y,kf_pred_x,kf_pred_y,kf_corr_x,kf_corr_y,innov,innov_thresh,search_scale
19,211,142,122,111,92,301,112,111,0,201.636,215,149,112,111,0.813067,7.07107,7.07632,0,0.703198,0.215446,0.5,1,147.965,356.971,186.346,357.308,159.357,357.071,38.3825,55.2,1.02154
20,193,138,123,114,67,297,117,116,0,205.526,195,137,117,116,0.935606,1,7.16335,0.000478778,0.452109,0.0680223,0.5,1,125.593,355.102,151.435,364.295,139.751,360.139,27.4283,55.2,1.0068
21,195,154,118,113,18,318,119,118,0,242.641,200,154,117,116,0.903233,4.74342,7.44266,0.00201547,0.348904,0.00742733,0.5,1,77.7794,377.249,131.065,367.091,112.473,370.635,54.245,55.2,1.00074
22,222,181,127,117,32,300,122,121,0,227.37,225,186,117,116,0.854962,4.92443,8.27259,0.00658151,0.294512,0,0.5,1,93.3235,359.894,102.601,377.814,99.8685,372.536,20.179,55.2,1
23,259,229,118,105,1,337,119,118,0,281.809,251,218,117,116,0.788386,10.1242,8.42926,0.00744344,0.262195,0,0.5,1,61.1601,396.192,89.8239,379.382,82.3084,383.789,33.2295,55.2,1
24,265,240,125,107,13,353,119,118,0,281.189,269,236,115,114,0.867772,1.11803,8.99156,0.0105371,0.241676,0,0.5,1,73.1754,412.614,71.792,390.912,72.1264,396.157,21.7459,55.2,1
25,254,241,120,112,20,351,122,121,0,259.614,256,239,115,114,0.942209,1.11803,12.3242,0.0288721,0.228131,0,0.5,1,80.8481,411.078,61.631,403.609,66.015,405.313,20.6176,55.2,1
26,239,244,121,112,10,358,119,118,0,258.048,241,243,115,114,0.934552,1,12.5035,0.0298588,0.218984,0,0.5,1,69.3347,417.101,55.7968,412.873,58.7614,413.799,14.1826,55.2,1
27,234,246,118,109,10,360,119,118,0,252.971,236,245,115,114,0.932872,1.58114,13.8313,0.0371638,0.212724,0,0.5,1,69.6566,418.767,48.7317,421.418,53.1829,420.854,21.0921,55.2,1
28,229,239,120,106,7,349,124,123,0,249.884,230,236,115,114,0.893695,1.80278,12.3213,0.0288562,0.208409,0,0.5,1,69.0659,410.078,43.4381,428.437,48.7791,424.611,31.5251,55.2,1
29,225,219,115,114,-24,342,119,118,0,276.828,225,221,115,114,0.965517,2,12.5445,0.030084,0.205424,0,0.5,1,35.4506,401.604,39.378,431.947,38.5712,425.714,30.5967,55.2,1
30,225,213,111,106,-31,328,117,116,0,280.016,223,212,115,114,0.897483,3,12.3242,0.0556906,0.203353,0,0.5,1,27.9009,385.752,29.1179,432.648,28.8704,423.111,46.9111,55.2,1
31,228,205,116,107,19,371,117,116,0,269.337,228,203,117,116,0.91453,2.54951,12.0047,0.0522996,0.252998,0.0270381,5,0,77.6373,429.313,19.4011,429.426,19.4011,429.426,58.2363,55.2,1.0027
32,240,191,117,108,-30,343,115,114,0,312.195,240,193,115,114,0.899233,5.09902,8.18383,0.0117528,0.23627,0.0179278,0.5,1,27.5994,399.552,9.93169,435.742,14.1061,427.191,40.272,55.2,1.00179
33,237,166,117,114,18,339,115,114,0,279.873,236,170,115,114,0.901639,4.47214,6.86117,0,0.290046,0.047216,5,0,75.2618,395.741,4.90539,432.956,4.90539,432.956,79.5924,55.2,1.00472
34,224,144,117,116,-60,395,119,118,0,378.937,225,152,115,114,0.870846,7,5.87192,0,0.259664,0.0306688,0.5,1,0,453.732,-4.29527,438.72,-3.17994,442.618,15.6142,55.2,1.00307
35,215,124,126,116,-59,393,117,116,0,387.199,219,127,117,116,0.883343,3.04138,7.73156,0.0210253,0.240018,0.0199687,0.5,1,0,451.087,-12.3103,448.629,-9.35558,449.219,12.5532,55.2,1.002
36,228,119,112,106,-59,393,117,116,0,398.474,225,115,117,116,0.874742,1.11803,7.10046,0.0138901,0.226829,0.0127857,0.5,1,0,451.314,-18.3009,455.266,-14.1497,454.37,18.7229,55.2,1.00128
37,243,124,118,108,-59,331,117,116,0,368.819,242,124,115,114,0.909171,3.90512,6.68506,0.00919343,0.278409,0.0408783,5,0,0,388.993,-22.8357,460.361,-22.8357,460.361,74.9326,55.2,1.00409
38,253,130,114,104,-59,346,117,116,0,381.699,254,132,106,105,0.888122,3.90512,6.2477,0.00424866,0.336667,0.0726078,5,0,0,403.839,-31.5216,466.353,-31.5216,466.353,70.0111,55.2,1.00726
39,253,135,116,111,-59,363,117,116,0,387.508,254,138,108,107,0.897484,3.16228,7.25694,0.0156592,0.402003,0.108192,5,0,0,421.443,-40.2076,472.344,-40.2076,472.344,64.8662,55.2,1.01082
40,256,168,127,117,-59,383,117,116,0,385.241,263,172,108,107,0.77771,2.69258,6.31988,0.00506474,0.474817,0.147849,5,0,0,440.494,-48.8936,478.336,-48.8936,478.336,61.8269,55.2,1.01478
41,262,211,122,113,-59,406,117,116,0,378.503,265,209,110,109,0.840354,5,5.52315,0,0.555508,0.191797,5,0,0,463.578,-57.5795,484.327,-57.5795,484.327,61.2042,55.2,1.01918
42,269,227,121,114,-59,393,117,116,0,369.85,271,228,112,111,0.901261,2.54951,7.29373,0.0199397,0.644477,0.240253,5,0,0,450.895,-66.2655,490.319,-66.2655,490.319,77.106,55.2,1.02403
43,269,234,123,112,-59,385,117,116,0,364.651,278,237,106,105,0.807927,0.707107,6.3529,0.0107951,0.742124,0.293435,5,0,0,442.648,-74.9515,496.31,-74.9515,496.31,92.1815,55.2,1.02934
44,267,229,119,114,-59,382,117,116,0,361.448,272,231,106,105,0.820433,2.91548,6.27061,0.0117848,0.848849,0.351561,5,0,0,439.722,-83.6374,502.302,-83.6374,502.302,104.458,55.2,1.03516
45,261,212,117,118,-59,388,117,116,0,364.726,266,219,108,107,0.837027,1.58114,5.77881,0.00403082,0.965051,0.414849,5,0,0,445.973,-92.3234,508.294,-92.3234,508.294,111.389,55.2,1.04148
46,258,213,120,106,-59,408,117,116,0,376.088,263,209,110,109,0.87766,2.5,5.33439,0,1.09113,0.483517,5,0,0,465.565,-101.009,514.285,-101.009,514.285,112.145,55.2,1.04835
47,263,191,119,116,-59,405,117,116,0,387.46,266,197,108,107,0.837149,2.91548,5.90752,0.0340211,1.22749,0.557783,5,0,0,462.465,-109.695,520.277,-109.695,520.277,123.997,55.2,1.05578
48,265,159,117,111,-59,421,117,116,0,418.254,268,166,108,107,0.843813,5.22015,5.62098,0.0337296,1.37452,0.999991,5,0,0,479,-118.381,526.268,-118.381,526.268,127.469,55.2,1.1
49,267,156,117,111,-59,421,117,116,0,421.702,267,157,112,111,0.94053,2.69258,5.43928,0.0123448,1.53264,0.999992,5,0,0,479,-127.067,532.26,-127.067,532.26,137.778,55.2,1.1
50,270,176,115,108,-59,392,117,116,0,394.948,270,176,108,107,0.930435,3.53553,5.89976,0.0665383,1.70223,0.999993,5,0,0,450.208,-135.753,538.251,-135.753,538.251,161.804,55.2,1.1
51,260,181,123,114,-59,404,117,116,0,392.25,269,184,106,105,0.793753,1.58114,6.12327,0.0928437,1.8837,0.999994,5,0,0,462.193,-144.439,544.243,-144.439,544.243,166.117,55.2,1.1
52,262,176,120,112,-59,421,117,116,0,406.221,268,179,106,105,0.828125,1.11803,5.24631,0,2.07745,0.999995,5,0,0,479,-153.125,550.234,-153.125,550.234,168.883,55.2,1.1
53,265,178,115,108,-59,421,117,116,0,406.618,268,176,110,109,0.931171,1.58114,5.89204,0.0752159,2.28387,0.999995,5,0,0,479,-161.811,556.226,-161.811,556.226,179.295,55.2,1.1
54,272,181,116,113,-59,421,117,116,0,409.332,277,184,108,107,0.881599,1,5.23851,0,2.50337,0.999996,5,0,0,479,-170.497,562.217,-170.497,562.217,189.722,55.2,1.1
55,281,192,117,111,-59,421,117,116,0,411.33,284,193,108,107,0.889813,1.80278,4.94777,0,2.73635,0.999996,5,0,0,479,-179.183,568.209,-179.183,568.209,200.162,55.2,1.1
56,276,206,121,110,-59,421,117,116,0,401.364,278,206,110,109,0.900826,3.53553,4.9545,0.000757482,2.98321,0.999996,5,0,0,479,-187.869,574.2,-187.869,574.2,210.613,55.2,1.1
57,249,209,130,113,-59,421,117,116,0,380.122,258,211,108,107,0.786658,2.23607,6.43354,0.195582,3.24435,0.999997,5,0,0,479,-196.555,580.192,-196.555,580.192,221.074,55.2,1.1
58,211,205,135,115,-59,421,117,116,0,353.148,224,205,112,111,0.800773,2.5,5.14332,0.0257417,3.52016,0.999997,5,0,0,479,-205.241,586.183,-205.241,586.183,231.543,55.2,1.1
59,195,205,121,111,-59,421,117,116,0,336.568,203,208,106,105,0.82868,0.5,5.09469,0.0199181,3.81105,0.999997,5,0,0,479,-213.927,592.175,-213.927,592.175,242.019,55.2,1.1
60,200,202,125,113,-59,421,117,116,0,343.204,207,203,110,109,0.84885,1.11803,4.91508,0,4.11742,0.999997,5,0,0,479,-222.613,598.166,-222.613,598.166,252.502,55.2,1.1
61,225,206,126,110,-59,421,117,116,0,361.602,230,206,108,107,0.833766,4.272,4.85113,0,4.43967,0.999998,5,0,0,479,-231.299,604.158,-231.299,604.158,262.99,55.2,1.1
62,260,206,131,115,-59,421,117,116,0,390.789,264,210,106,105,0.738799,8.55862,4.85171,0.000201797,4.77819,0.999998,5,0,0,479,-239.985,610.149,-239.985,610.149,273.483,55.2,1.1
63,303,209,127,114,-59,421,117,116,0,424.332,306,211,106,105,0.768753,7.90569,4.90574,0.0189592,5.13339,0.999998,5,0,0,479,-248.671,616.141,-248.671,616.141,283.98,55.2,1.1
64,328,214,123,113,-59,421,117,116,0,442.236,332,216,106,105,0.800777,4.92443,0,0,5.50567,0.999998,5,0,-257.357,622.132,-257.357,622.132,-257.357,622.132,0,55.2,1.1
65,324,218,125,109,-59,421,117,116,0,438.647,327,215,112,111,0.866414,4.03113,0,0,5.89543,0.999998,5,0,-266.043,628.124,-266.043,628.124,-266.043,628.124,0,55.2,1.1
66,311,206,125,112,-59,421,117,116,0,432.394,313,205,112,111,0.873016,4.74342,0,0,6.30306,0.999998,5,0,-274.729,634.115,-274.729,634.115,-274.729,634.115,0,55.2,1.1
67,293,187,117,111,-59,421,117,116,0,424.071,292,187,112,111,0.940678,3.5,0,0,6.72898,0.999998,5,0,-283.415,640.107,-283.415,640.107,-283.415,640.107,0,55.2,1.1
68,256,159,121,115,-59,421,117,116,0,411.577,258,159,115,114,0.942149,1.11803,0,0,7.17357,0.999999,5,0,-292.101,646.098,-292.101,646.098,-292.101,646.098,0,55.2,1.1
69,241,155,116,108,-59,421,117,116,0,403.237,242,155,110,109,0.940022,2.06155,0,0,7.63724,0.999999,5,0,-300.787,652.09,-300.787,652.09,-300.787,652.09,0,55.2,1.1
70,236,161,122,112,-59,421,117,116,0,396.422,241,164,112,111,0.879032,2.5,0,0,8.12038,0.999999,5,0,-309.473,658.081,-309.473,658.081,-309.473,658.081,0,55.2,1.1
71,241,175,130,119,-59,421,117,116,0,392.075,250,180,112,111,0.80362,1,0,0,8.62341,0.999999,5,0,-318.158,664.073,-318.158,664.073,-318.158,664.073,0,55.2,1.1
72,250,195,119,111,-59,421,117,116,0,385.113,255,195,112,111,0.941176,1.5,0,0,9.14671,0.999999,5,0,-326.844,670.064,-326.844,670.064,-326.844,670.064,0,55.2,1.1
73,265,207,123,114,-59,421,117,116,0,391.349,268,206,110,109,0.840645,4.94975,0,0,9.69069,0.999999,5,0,-335.53,676.056,-335.53,676.056,-335.53,676.056,0,55.2,1.1
74,290,219,128,111,-59,421,117,116,0,409.256,294,219,110,109,0.843891,5.09902,0,0,10.2557,0.999999,5,0,-344.216,682.047,-344.216,682.047,-344.216,682.047,0,55.2,1.1
75,307,227,123,113,-59,421,117,116,0,417.59,309,229,110,109,0.862652,4.5,0,0,10.8423,0.999999,5,0,-352.902,688.039,-352.902,688.039,-352.902,688.039,0,55.2,1.1
76,299,233,124,118,-59,421,117,116,0,407.003,305,237,112,111,0.849645,0.5,0,0,11.4507,0.999999,5,0,-361.588,694.031,-361.588,694.031,-361.588,694.031,0,55.2,1.1
77,291,243,128,117,-59,421,117,116,0,397.349,296,244,112,111,0.830128,3.60555,0,0,12.0814,0.999999,5,0,-370.274,700.022,-370.274,700.022,-370.274,700.022,0,55.2,1.1
78,283,239,120,116,-59,421,117,116,0,388.737,285,243,112,111,0.893103,2.5,0,0,12.7348,0.999999,5,0,-378.96,706.014,-378.96,706.014,-378.96,706.014,0,55.2,1.1
79,254,227,127,120,-59,421,117,116,0,371.467,260,230,112,111,0.815748,2.12132,0,0,13.4112,0.999999,5,0,-387.646,712.005,-387.646,712.005,-387.646,712.005,0,55.2,1.1
80,226,219,123,121,-59,421,117,116,0,350.349,233,227,106,105,0.747833,1.5,0,0,14.1111,0.999999,5,0,-396.332,717.997,-396.332,717.997,-396.332,717.997,0,55.2,1.1
81,210,221,121,118,-59,421,117,116,0,336.217,216,227,106,105,0.779521,1.58114,0,0,14.8349,0.999999,5,0,-405.018,723.988,-405.018,723.988,-405.018,723.988,0,55.2,1.1
82,210,231,118,111,-59,421,117,116,0,331.19,213,231,110,109,0.915407,1.41421,0,0,15.583,0.999999,5,0,-413.704,729.98,-413.704,729.98,-413.704,729.98,0,55.2,1.1
83,212,231,126,106,-59,421,117,116,0,337.528,220,228,110,109,0.851966,1.5,0,0,16.3558,0.999999,5,0,-422.39,735.971,-422.39,735.971,-422.39,735.971,0,55.2,1.1
84,230,203,125,115,-59,421,117,116,0,365.501,236,208,110,109,0.834087,2.5,0,0,17.1536,0.999999,5,0,-431.076,741.963,-431.076,741.963,-431.076,741.963,0,55.2,1.1
85,251,166,122,121,-59,421,117,116,0,401.762,250,179,112,111,0.788373,10,0,0,17.9769,0.999999,5,0,-439.762,747.954,-439.762,747.954,-439.762,747.954,0,55.2,1.1
86,265,147,115,116,-59,421,117,116,0,423.562,265,154,110,109,0.898801,4.30116,0,0,18.8261,0.999999,5,0,-448.448,753.946,-448.448,753.946,-448.448,753.946,0,55.2,1.1
87,291,141,128,109,-59,421,117,116,0,454.7,297,141,106,105,0.797735,5.38516,0,0,19.7016,0.999999,5,0,-457.134,759.937,-457.134,759.937,-457.134,759.937,0,55.2,1.1
88,322,142,110,107,-59,421,117,116,0,472.1,322,144,104,103,0.91011,3,0,0,20.6037,0.999999,5,0,-465.82,765.929,-465.82,765.929,-465.82,765.929,0,55.2,1.1
89,328,151,113,111,-59,421,117,116,0,471.679,331,154,104,103,0.854022,1.80278,0,0,21.5329,0.999999,5,0,-474.506,771.92,-474.506,771.92,-474.506,771.92,0,55.2,1.1
90,327,164,115,112,-59,421,117,116,0,464.011,330,169,104,103,0.831677,2.54951,0,0,22.4896,0.999999,5,0,-483.192,777.912,-483.192,777.912,-483.192,777.912,0,55.2,1.1
91,310,176,120,111,-59,421,117,116,0,445.563,317,178,106,105,0.835586,1,0,0,23.4742,0.999999,5,0,-491.878,783.903,-491.878,783.903,-491.878,783.903,0,55.2,1.1
92,294,184,113,113,-59,421,117,116,0,424.362,293,192,106,105,0.856377,6.0208,0,0,24.4871,1,5,0,-500.564,789.895,-500.564,789.895,-500.564,789.895,0,55.2,1.1
93,263,200,122,117,-59,421,117,116,0,392.327,268,207,108,107,0.809584,2.82843,0,0,25.5286,1,5,0,-509.25,795.886,-509.25,795.886,-509.25,795.886,0,55.2,1.1
94,249,216,114,114,-59,421,117,116,0,369.294,249,222,110,109,0.906455,4.03113,0,0,26.5992,1,5,0,-517.936,801.878,-517.936,801.878,-517.936,801.878,0,55.2,1.1
95,226,221,131,109,-59,421,117,116,0,355.916,234,223,112,111,0.813743,3.3541,0,0,27.6993,1,5,0,-526.622,807.869,-526.622,807.869,-526.622,807.869,0,55.2,1.1
96,216,208,127,111,-59,421,117,116,0,353.327,221,212,112,111,0.823926,4.71699,0,0,28.8293,1,5,0,-535.308,813.861,-535.308,813.861,-535.308,813.861,0,55.2,1.1
97,205,200,128,111,-59,421,117,116,0,350.118,215,205,106,105,0.783361,2.23607,0,0,29.9895,1,5,0,-543.994,819.852,-543.994,819.852,-543.994,819.852,0,55.2,1.1
98,205,203,119,105,-59,421,117,116,0,346.666,209,202,106,105,0.874851,2.69258,0,0,31.1804,1,5,0,-552.68,825.844,-552.68,825.844,-552.68,825.844,0,55.2,1.1
99,211,191,125,111,-59,421,117,116,0,359.35,216,193,106,105,0.802162,4.60977,0,0,32.4024,1,5,0,-561.366,831.835,-561.366,831.835,-561.366,831.835,0,55.2,1.1
100,233,174,116,106,-59,421,117,116,0,385.326,233,176,106,105,0.888889,5.22015,0,0,33.6559,1,5,0,-570.052,837.827,-570.052,837.827,-570.052,837.827,0,55.2,1.1
101,243,167,121,104,-59,421,117,116,0,400.02,248,166,106,105,0.868716,2.54951,0,0,34.9413,1,5,0,-578.738,843.818,-578.738,843.818,-578.738,843.818,0,55.2,1.1
102,254,170,126,107,-59,421,117,116,0,407.537,263,170,108,107,0.857143,0,0,0,36.2589,1,5,0,-587.424,849.81,-587.424,849.81,-587.424,849.81,0,55.2,1.1
103,275,180,121,111,-59,421,117,116,0,414.956,279,187,108,107,0.816576,5.59017,0,0,37.6092,1,5,0,-596.11,855.801,-596.11,855.801,-596.11,855.801,0,55.2,1.1
104,290,209,128,111,-59,421,117,116,0,414.343,299,212,106,105,0.783361,2,0,0,38.9926,1,5,0,-604.796,861.793,-604.796,861.793,-604.796,861.793,0,55.2,1.1
105,301,222,125,107,-59,421,117,116,0,417.023,306,219,110,109,0.850784,3.20156,0,0,40.4095,1,5,0,-613.482,867.784,-613.482,867.784,-613.482,867.784,0,55.2,1.1
106,286,200,136,118,-59,421,117,116,0,417.217,291,201,110,109,0.747134,8.73212,0,0,41.8602,1,5,0,-622.168,873.776,-622.168,873.776,-622.168,873.776,0,55.2,1.1
107,255,187,132,110,-59,421,117,116,0,399.414,260,188,112,111,0.827998,5.22015,0,0,43.3453,1,5,0,-630.854,879.768,-630.854,879.768,-630.854,879.768,0,55.2,1.1
108,203,187,126,112,-59,421,117,116,0,355.975,210,191,112,111,0.837209,3.5,0,0,44.865,1,5,0,-639.539,885.759,-639.539,885.759,-639.539,885.759,0,55.2,1.1
109,169,199,132,118,-59,421,117,116,0,322.957,176,207,112,111,0.785314,5.40833,0,0,46.4197,1,5,0,-648.225,891.751,-648.225,891.751,-648.225,891.751,0,55.2,1.1
110,164,223,116,110,-59,421,117,116,0,299.845,165,226,112,111,0.907329,3.64005,0,0,48.01,1,5,0,-656.911,897.742,-656.911,897.742,-656.911,897.742,0,55.2,1.1
111,161,235,118,113,-59,421,117,116,0,289.442,163,231,115,114,0.917065,3.53553,0,0,49.6361,1,5,0,-665.597,903.734,-665.597,903.734,-665.597,903.734,0,55.2,1.1
112,174,208,128,118,-59,421,117,116,0,319.102,173,219,115,114,0.761613,11.7154,0,0,51.2985,1,5,0,-674.283,909.725,-674.283,909.725,-674.283,909.725,0,55.2,1.1
113,198,185,121,118,-59,421,117,116,0,349.723,202,187,112,111,0.87071,1.58114,0,0,52.9976,1,5,0,-682.969,915.717,-682.969,915.717,-682.969,915.717,0,55.2,1.1
114,224,168,123,112,-59,421,117,116,0,383.172,223,169,112,111,0.887233,6.5192,0,0,54.7338,1,5,0,-691.655,921.708,-691.655,921.708,-691.655,921.708,0,55.2,1.1
115,232,168,115,116,-59,421,117,116,0,384.849,232,171,112,111,0.931934,1.58114,0,0,56.5074,1,5,0,-700.341,927.7,-700.341,927.7,-700.341,927.7,0,55.2,1.1
116,231,180,115,121,-59,421,117,116,0,374.704,230,188,112,111,0.87844,3.90512,0,0,58.319,1,5,0,-709.027,933.691,-709.027,933.691,-709.027,933.691,0,55.2,1.1
117,223,200,119,116,-59,421,117,116,0,359.068,224,201,115,114,0.949725,1,0,0,60.1688,1,5,0,-717.713,939.683,-717.713,939.683,-717.713,939.683,0,55.2,1.1
118,220,197,120,117,-59,421,117,116,0,358.654,222,199,115,114,0.933761,0.707107,0,0,62.0572,1,5,0,-726.399,945.674,-726.399,945.674,-726.399,945.674,0,55.2,1.1
119,227,189,122,111,-59,421,117,116,0,371.783,229,190,115,114,0.903442,2.91548,0,0,63.9848,1,5,0,-735.085,951.666,-735.085,951.666,-735.085,951.666,0,55.2,1.1
120,237,190,120,113,-59,421,117,116,0,377.574,239,192,112,111,0.916814,2.23607,0,0,65.9518,1,5,0,-743.771,957.657,-743.771,957.657,-743.771,957.657,0,55.2,1.1
121,234,195,119,124,-59,421,117,116,0,368.402,235,200,115,114,0.888452,1,0,0,67.9587,1,5,0,-752.457,963.649,-752.457,963.649,-752.457,963.649,0,55.2,1.1
122,218,209,126,119,-59,421,117,116,0,351.5,223,213,115,114,0.87435,1.58114,0,0,70.0059,1,5,0,-761.143,969.64,-761.143,969.64,-761.143,969.64,0,55.2,1.1
123,202,216,127,112,-59,421,117,116,0,337.053,206,216,115,114,0.891103,2.23607,0,0,72.0938,1,5,0,-769.829,975.632,-769.829,975.632,-769.829,975.632,0,55.2,1.1
124,200,201,123,114,-59,421,117,116,0,342.761,203,205,115,114,0.873498,4.12311,0,0,74.2227,1,5,0,-778.515,981.623,-778.515,981.623,-778.515,981.623,0,55.2,1.1
125,197,184,121,116,-59,421,117,116,0,350.333,199,188,115,114,0.902846,3.16228,0,0,76.3932,1,5,0,-787.201,987.615,-787.201,987.615,-787.201,987.615,0,55.2,1.1
126,194,182,117,115,-59,421,117,116,0,348.381,196,186,115,114,0.925,3.64005,0,0,78.6055,1,5,0,-795.887,993.606,-795.887,993.606,-795.887,993.606,0,55.2,1.1
127,193,193,122,113,-59,421,117,116,0,342.696,196,198,115,114,0.857972,5.52268,0,0,80.86,1,5,0,-804.573,999.598,-804.573,999.598,-804.573,999.598,0,55.2,1.1
128,205,216,119,116,-59,421,117,116,0,335.037,206,222,115,114,0.886848,5.09902,0,0,83.1573,1,5,0,-813.259,1005.59,-813.259,1005.59,-813.259,1005.59,0,55.2,1.1
129,201,249,122,105,-59,421,117,116,0,316.879,206,248,115,114,0.872156,3.80789,0,0,85.4976,1,5,0,-821.945,1011.58,-821.945,1011.58,-821.945,1011.58,0,55.2,1.1
130,199,248,118,111,-59,421,117,116,0,312.446,201,245,115,114,0.949565,1.58114,0,0,87.8814,1,5,0,-830.631,1017.57,-830.631,1017.57,-830.631,1017.57,0,55.2,1.1
131,199,212,120,112,-59,421,117,116,0,334.457,199,220,115,114,0.81974,9.34077,0,0,90.3091,1,5,0,-839.317,1023.56,-839.317,1023.56,-839.317,1023.56,0,55.2,1.1
132,201,193,119,113,-59,421,117,116,0,347.55,201,196,112,111,0.908622,4.03113,0,0,92.7811,1,5,0,-848.003,1029.56,-848.003,1029.56,-848.003,1029.56,0,55.2,1.1
133,194,177,116,110,-59,421,117,116,0,353.221,192,178,112,111,0.908196,4.272,0,0,95.2977,1,5,0,-856.689,1035.55,-856.689,1035.55,-856.689,1035.55,0,55.2,1.1
134,175,169,114,107,-59,421,117,116,0,346.191,176,171,108,107,0.913485,2.82843,0,0,97.8595,1,5,0,-865.375,1041.54,-865.375,1041.54,-865.375,1041.54,0,55.2,1.1
135,162,175,117,112,-59,421,117,116,0,332.182,166,180,108,107,0.881868,2.54951,0,0,100.467,1,5,0,-874.061,1047.53,-874.061,1047.53,-874.061,1047.53,0,55.2,1.1
136,172,191,114,108,-59,421,117,116,0,327.759,174,193,108,107,0.921739,1.80278,0,0,103.12,1,5,0,-882.747,1053.52,-882.747,1053.52,-882.747,1053.52,0,55.2,1.1
